index,DL/NN,SL,UL,RL
2000,35,25,11,66
2002,27,40,7,64
2004,59,75,14,110
2006,32,39,12,88
2008,45,49,19,93
2010,45,63,13,99
2012,37,53,13,85
2014,54,57,22,115
2016,52,83,21,116
