index,DL/NN,SL,UL,RL
1997,27,15,7,34
1998,25,27,7,42
1999,30,11,5,34
2000,17,42,6,43
2002,15,20,2,42
2004,20,26,8,35
2005,38,43,11,92
2006,16,38,6,85
2007,35,33,9,67
2008,37,32,8,49
2010,38,26,11,59
2011,31,30,15,54
2012,37,61,15,91
2013,21,29,12,23
2014,61,130,25,68
2015,93,171,33,78
2016,104,124,39,69
2017,145,110,50,78
