index,DL/NN,SL,UL,RL
1997,45,31,10,49
1999,26,36,4,52
2001,31,34,4,58
2003,28,33,4,55
2005,30,37,17,65
2007,61,99,25,169
2009,52,52,8,86
2011,44,53,26,115
2013,57,73,25,94
2015,85,52,20,64
2016,128,86,41,125
2017,169,112,64,112
