index,CV,KSI,NLP,ES,ML
1997,140,43,76,76,247
1998,151,61,57,89,294
1999,87,45,59,44,244
2000,168,80,61,95,266
2002,96,66,53,48,238
2004,143,38,61,62,236
2005,252,127,99,78,542
2006,116,114,41,41,435
2007,200,129,94,81,397
2008,135,99,77,69,367
2010,103,120,71,56,415
2011,131,109,97,55,374
2012,177,158,117,76,595
2013,62,55,53,6,249
2014,237,151,174,102,822
2015,289,169,256,122,1134
2016,371,138,312,140,1076
2017,384,142,307,147,1315
