index,CV,KSI,NLP,ES,ML
2000,153,69,176,43,348
2002,154,73,183,41,355
2004,263,163,343,60,697
2006,170,140,254,41,440
2008,193,129,307,31,540
2010,178,173,300,31,586
2012,167,107,251,51,495
2014,203,205,339,69,654
2016,254,222,350,52,716
