index,CV,KSI,NLP,ES,ML
1997,186,45,121,109,432
1999,165,53,89,78,360
2001,189,92,81,85,354
2003,160,112,51,75,354
2005,212,54,128,99,440
2007,303,213,210,141,1055
2009,293,177,124,141,595
2011,376,243,172,211,652
2013,374,180,158,198,725
2015,207,206,190,65,639
2016,434,324,218,150,1114
2017,495,252,260,181,1466
